Date,ADI Score
2010-07-14 00:00:00,63.39
2010-07-15 00:00:00,64.62
2010-07-16 00:00:00,63.93
2010-07-17 00:00:00,64.25
2010-07-18 00:00:00,64.98
2010-07-19 00:00:00,64.62
2010-07-20 00:00:00,64.04
2010-07-21 00:00:00,63.72
2010-07-22 00:00:00,63.09
2010-07-23 00:00:00,63.81
2010-07-24 00:00:00,64.06
2010-07-25 00:00:00,63.67
2010-07-26 00:00:00,64.1
2010-07-27 00:00:00,64.2
2010-07-28 00:00:00,64.05
2010-07-29 00:00:00,63.83
2010-07-30 00:00:00,64.24
2010-07-31 00:00:00,64.38
2010-08-01 00:00:00,63.61
2010-08-02 00:00:00,64.86
2010-08-03 00:00:00,64.1
2010-08-04 00:00:00,64.16
2010-08-05 00:00:00,64.51
2010-08-06 00:00:00,64.27
2010-08-07 00:00:00,64.63
2010-08-08 00:00:00,64.29
2010-08-09 00:00:00,63.84
2010-08-10 00:00:00,64.33
2010-08-11 00:00:00,63.57
2010-08-12 00:00:00,64.2
2010-08-13 00:00:00,64.13
2010-08-14 00:00:00,64.04
2010-08-15 00:00:00,64.08
2010-08-16 00:00:00,63.2
2010-08-17 00:00:00,63.86
2010-08-18 00:00:00,64.18
2010-08-19 00:00:00,64.22
2010-08-20 00:00:00,63.62
2010-08-21 00:00:00,64.77
2010-08-22 00:00:00,63.7
2010-08-23 00:00:00,64.62
2010-08-24 00:00:00,64.34
2010-08-25 00:00:00,63.81
2010-08-26 00:00:00,65.02
2010-08-27 00:00:00,63.53
2010-08-28 00:00:00,64.58
2010-08-29 00:00:00,64.62
2010-08-30 00:00:00,63.79
2010-08-31 00:00:00,64.82
2010-09-01 00:00:00,64.0
2010-09-02 00:00:00,64.26
2010-09-03 00:00:00,64.25
2010-09-04 00:00:00,64.05
2010-09-05 00:00:00,64.52
2010-09-06 00:00:00,64.51
2010-09-07 00:00:00,63.24
2010-09-08 00:00:00,64.76
2010-09-09 00:00:00,63.28
2010-09-10 00:00:00,64.63
2010-09-11 00:00:00,64.67
2010-09-12 00:00:00,63.56
2010-09-13 00:00:00,63.9
2010-09-14 00:00:00,63.55
2010-09-15 00:00:00,64.0
2010-09-16 00:00:00,63.95
2010-09-17 00:00:00,64.49
2010-09-18 00:00:00,64.76
2010-09-19 00:00:00,64.8
2010-09-20 00:00:00,63.82
2010-09-21 00:00:00,63.99
2010-09-22 00:00:00,63.25
2010-09-23 00:00:00,63.69
2010-09-24 00:00:00,64.58
2010-09-25 00:00:00,64.9
2010-09-26 00:00:00,63.47
2010-09-27 00:00:00,63.79
2010-09-28 00:00:00,64.08
2010-09-29 00:00:00,64.23
2010-09-30 00:00:00,63.68
2010-10-01 00:00:00,64.3
2010-10-02 00:00:00,63.85
2010-10-03 00:00:00,64.08
2010-10-04 00:00:00,64.36
2010-10-05 00:00:00,64.08
2010-10-06 00:00:00,63.86
2010-10-07 00:00:00,64.02
2010-10-08 00:00:00,64.03
2010-10-09 00:00:00,63.89
2010-10-10 00:00:00,63.95
2010-10-11 00:00:00,64.87
2010-10-12 00:00:00,64.35
2010-10-13 00:00:00,63.92
2010-10-14 00:00:00,64.42
2010-10-15 00:00:00,63.9
2010-10-16 00:00:00,64.66
2010-10-17 00:00:00,64.25
2010-10-18 00:00:00,64.01
2010-10-19 00:00:00,64.29
2010-10-20 00:00:00,63.28
2010-10-21 00:00:00,63.5
2010-10-22 00:00:00,63.46
2010-10-23 00:00:00,64.13
2010-10-24 00:00:00,64.93
2010-10-25 00:00:00,65.17
2010-10-26 00:00:00,64.38
2010-10-27 00:00:00,64.31
2010-10-28 00:00:00,63.15
2010-10-29 00:00:00,63.78
2010-10-30 00:00:00,63.66
2010-10-31 00:00:00,63.74
2010-11-01 00:00:00,63.97
2010-11-02 00:00:00,63.81
2010-11-03 00:00:00,63.06
2010-11-04 00:00:00,64.42
2010-11-05 00:00:00,63.51
2010-11-06 00:00:00,64.16
2010-11-07 00:00:00,65.08
2010-11-08 00:00:00,63.58
2010-11-09 00:00:00,62.78
2010-11-10 00:00:00,63.9
2010-11-11 00:00:00,64.59
2010-11-12 00:00:00,65.02
2010-11-13 00:00:00,63.42
2010-11-14 00:00:00,64.28
2010-11-15 00:00:00,63.8
2010-11-16 00:00:00,63.98
2010-11-17 00:00:00,65.35
2010-11-18 00:00:00,63.28
2010-11-19 00:00:00,64.16
2010-11-20 00:00:00,64.26
2010-11-21 00:00:00,64.57
2010-11-22 00:00:00,64.08
2010-11-23 00:00:00,64.18
2010-11-24 00:00:00,63.83
2010-11-25 00:00:00,64.16
2010-11-26 00:00:00,63.85
2010-11-27 00:00:00,64.33
2010-11-28 00:00:00,63.83
2010-11-29 00:00:00,64.21
2010-11-30 00:00:00,64.0
2010-12-01 00:00:00,64.58
2010-12-02 00:00:00,63.99
2010-12-03 00:00:00,63.13
2010-12-04 00:00:00,64.64
2010-12-05 00:00:00,63.56
2010-12-06 00:00:00,63.68
2010-12-07 00:00:00,63.71
2010-12-08 00:00:00,64.7
2010-12-09 00:00:00,62.94
2010-12-10 00:00:00,65.57
2010-12-11 00:00:00,64.53
2010-12-12 00:00:00,64.11
2010-12-13 00:00:00,63.97
2010-12-14 00:00:00,64.14
2010-12-15 00:00:00,64.26
2010-12-16 00:00:00,64.32
2010-12-17 00:00:00,64.28
2010-12-18 00:00:00,64.04
2010-12-19 00:00:00,63.9
2010-12-20 00:00:00,63.92
2010-12-21 00:00:00,63.9
2010-12-22 00:00:00,64.56
2010-12-23 00:00:00,64.29
2010-12-24 00:00:00,62.52
2010-12-25 00:00:00,64.32
2010-12-26 00:00:00,64.08
2010-12-27 00:00:00,63.98
2010-12-28 00:00:00,63.79
2010-12-29 00:00:00,64.55
2010-12-30 00:00:00,64.46
2010-12-31 00:00:00,63.59
2011-01-01 00:00:00,64.18
2011-01-02 00:00:00,63.49
2011-01-03 00:00:00,63.29
2011-01-04 00:00:00,63.66
2011-01-05 00:00:00,64.41
2011-01-06 00:00:00,64.45
2011-01-07 00:00:00,64.23
2011-01-08 00:00:00,64.33
2011-01-09 00:00:00,64.23
2011-01-10 00:00:00,63.65
2011-01-11 00:00:00,64.18
2011-01-12 00:00:00,64.37
2011-01-13 00:00:00,64.34
2011-01-14 00:00:00,64.56
2011-01-15 00:00:00,64.32
2011-01-16 00:00:00,64.14
2011-01-17 00:00:00,64.5
2011-01-18 00:00:00,63.95
2011-01-19 00:00:00,63.52
2011-01-20 00:00:00,63.88
2011-01-21 00:00:00,63.58
2011-01-22 00:00:00,63.62
2011-01-23 00:00:00,63.88
2011-01-24 00:00:00,63.56
2011-01-25 00:00:00,63.8
2011-01-26 00:00:00,63.0
2011-01-27 00:00:00,64.06
2011-01-28 00:00:00,63.95
2011-01-29 00:00:00,63.54
2011-01-30 00:00:00,64.28
2011-01-31 00:00:00,64.41
2011-02-01 00:00:00,63.14
2011-02-02 00:00:00,63.56
2011-02-03 00:00:00,63.56
2011-02-04 00:00:00,63.47
2011-02-05 00:00:00,64.35
2011-02-06 00:00:00,63.84
2011-02-07 00:00:00,63.81
2011-02-08 00:00:00,62.93
2011-02-09 00:00:00,64.25
2011-02-10 00:00:00,63.31
2011-02-11 00:00:00,63.96
2011-02-12 00:00:00,64.07
2011-02-13 00:00:00,64.61
2011-02-14 00:00:00,63.28
2011-02-15 00:00:00,62.42
2011-02-16 00:00:00,64.02
2011-02-17 00:00:00,64.83
2011-02-18 00:00:00,64.54
2011-02-19 00:00:00,64.03
2011-02-20 00:00:00,63.68
2011-02-21 00:00:00,64.33
2011-02-22 00:00:00,63.43
2011-02-23 00:00:00,64.16
2011-02-24 00:00:00,64.17
2011-02-25 00:00:00,64.45
2011-02-26 00:00:00,65.3
2011-02-27 00:00:00,64.11
2011-02-28 00:00:00,63.66
2011-03-01 00:00:00,63.9
2011-03-02 00:00:00,63.03
2011-03-03 00:00:00,63.56
2011-03-04 00:00:00,63.7
2011-03-05 00:00:00,63.65
2011-03-06 00:00:00,63.98
2011-03-07 00:00:00,63.49
2011-03-08 00:00:00,64.46
2011-03-09 00:00:00,63.9
2011-03-10 00:00:00,63.9
2011-03-11 00:00:00,63.74
2011-03-12 00:00:00,63.98
2011-03-13 00:00:00,64.31
2011-03-14 00:00:00,63.46
2011-03-15 00:00:00,63.57
2011-03-16 00:00:00,63.74
2011-03-17 00:00:00,63.22
2011-03-18 00:00:00,63.48
2011-03-19 00:00:00,63.65
2011-03-20 00:00:00,64.33
2011-03-21 00:00:00,64.02
2011-03-22 00:00:00,63.99
2011-03-23 00:00:00,64.31
2011-03-24 00:00:00,63.82
2011-03-25 00:00:00,64.08
2011-03-26 00:00:00,63.83
2011-03-27 00:00:00,64.02
2011-03-28 00:00:00,63.59
2011-03-29 00:00:00,62.66
2011-03-30 00:00:00,63.81
2011-03-31 00:00:00,64.59
2011-04-01 00:00:00,64.34
2011-04-02 00:00:00,64.36
2011-04-03 00:00:00,64.49
2011-04-04 00:00:00,63.92
2011-04-05 00:00:00,63.97
2011-04-06 00:00:00,63.56
2011-04-07 00:00:00,63.71
2011-04-08 00:00:00,64.18
2011-04-09 00:00:00,64.47
2011-04-10 00:00:00,63.8
2011-04-11 00:00:00,63.64
2011-04-12 00:00:00,63.86
2011-04-13 00:00:00,64.16
2011-04-14 00:00:00,63.14
2011-04-15 00:00:00,62.71
2011-04-16 00:00:00,63.58
2011-04-17 00:00:00,63.25
2011-04-18 00:00:00,63.6
2011-04-19 00:00:00,63.78
2011-04-20 00:00:00,63.63
2011-04-21 00:00:00,64.58
2011-04-22 00:00:00,64.02
2011-04-23 00:00:00,64.0
2011-04-24 00:00:00,64.16
2011-04-25 00:00:00,63.28
2011-04-26 00:00:00,64.37
2011-04-27 00:00:00,63.81
2011-04-28 00:00:00,64.18
2011-04-29 00:00:00,63.31
2011-04-30 00:00:00,63.07
2011-05-01 00:00:00,64.25
2011-05-02 00:00:00,64.03
2011-05-03 00:00:00,63.39
2011-05-04 00:00:00,63.4
2011-05-05 00:00:00,64.4
2011-05-06 00:00:00,63.24
2011-05-07 00:00:00,64.66
2011-05-08 00:00:00,63.38
2011-05-09 00:00:00,64.15
2011-05-10 00:00:00,63.67
2011-05-11 00:00:00,64.13
2011-05-12 00:00:00,63.56
2011-05-13 00:00:00,63.75
2011-05-14 00:00:00,63.85
2011-05-15 00:00:00,63.33
2011-05-16 00:00:00,64.2
2011-05-17 00:00:00,63.57
2011-05-18 00:00:00,63.71
2011-05-19 00:00:00,63.32
2011-05-20 00:00:00,62.54
2011-05-21 00:00:00,63.72
2011-05-22 00:00:00,65.02
2011-05-23 00:00:00,64.21
2011-05-24 00:00:00,63.81
2011-05-25 00:00:00,63.68
2011-05-26 00:00:00,63.82
2011-05-27 00:00:00,64.09
2011-05-28 00:00:00,63.22
2011-05-29 00:00:00,64.37
2011-05-30 00:00:00,64.17
2011-05-31 00:00:00,64.17
2011-06-01 00:00:00,64.03
2011-06-02 00:00:00,63.82
2011-06-03 00:00:00,64.14
2011-06-04 00:00:00,64.1
2011-06-05 00:00:00,63.62
2011-06-06 00:00:00,63.51
2011-06-07 00:00:00,63.85
2011-06-08 00:00:00,64.57
2011-06-09 00:00:00,63.18
2011-06-10 00:00:00,63.06
2011-06-11 00:00:00,63.88
2011-06-12 00:00:00,63.82
2011-06-13 00:00:00,63.88
2011-06-14 00:00:00,63.91
2011-06-15 00:00:00,63.68
2011-06-16 00:00:00,64.53
2011-06-17 00:00:00,62.99
2011-06-18 00:00:00,63.37
2011-06-19 00:00:00,63.73
2011-06-20 00:00:00,62.96
2011-06-21 00:00:00,63.7
2011-06-22 00:00:00,64.61
2011-06-23 00:00:00,63.79
2011-06-24 00:00:00,63.9
2011-06-25 00:00:00,63.15
2011-06-26 00:00:00,63.47
2011-06-27 00:00:00,63.59
2011-06-28 00:00:00,63.62
2011-06-29 00:00:00,64.42
2011-06-30 00:00:00,64.05
2011-07-01 00:00:00,63.22
2011-07-02 00:00:00,63.89
2011-07-03 00:00:00,64.02
2011-07-04 00:00:00,64.34
2011-07-05 00:00:00,64.56
2011-07-06 00:00:00,63.26
2011-07-07 00:00:00,63.36
2011-07-08 00:00:00,63.14
2011-07-09 00:00:00,63.65
2011-07-10 00:00:00,63.99
2011-07-11 00:00:00,64.25
2011-07-12 00:00:00,63.72
2011-07-13 00:00:00,63.6
2011-07-14 00:00:00,63.83
2011-07-15 00:00:00,63.34
2011-07-16 00:00:00,64.8
2011-07-17 00:00:00,62.95
2011-07-18 00:00:00,63.84
2011-07-19 00:00:00,64.76
2011-07-20 00:00:00,63.75
2011-07-21 00:00:00,63.65
2011-07-22 00:00:00,63.57
2011-07-23 00:00:00,63.66
2011-07-24 00:00:00,64.43
2011-07-25 00:00:00,62.64
2011-07-26 00:00:00,64.51
2011-07-27 00:00:00,63.03
2011-07-28 00:00:00,63.61
2011-07-29 00:00:00,63.53
2011-07-30 00:00:00,64.03
2011-07-31 00:00:00,62.94
2011-08-01 00:00:00,63.97
2011-08-02 00:00:00,64.75
2011-08-03 00:00:00,63.05
2011-08-04 00:00:00,63.83
2011-08-05 00:00:00,63.4
2011-08-06 00:00:00,63.94
2011-08-07 00:00:00,63.74
2011-08-08 00:00:00,63.41
2011-08-09 00:00:00,63.97
2011-08-10 00:00:00,64.63
2011-08-11 00:00:00,63.63
2011-08-12 00:00:00,64.08
2011-08-13 00:00:00,63.08
2011-08-14 00:00:00,63.24
2011-08-15 00:00:00,63.96
2011-08-16 00:00:00,64.46
2011-08-17 00:00:00,63.9
2011-08-18 00:00:00,63.56
2011-08-19 00:00:00,63.72
2011-08-20 00:00:00,63.09
2011-08-21 00:00:00,64.02
2011-08-22 00:00:00,64.15
2011-08-23 00:00:00,63.49
2011-08-24 00:00:00,63.47
2011-08-25 00:00:00,63.84
2011-08-26 00:00:00,63.49
2011-08-27 00:00:00,63.67
2011-08-28 00:00:00,64.76
2011-08-29 00:00:00,63.58
2011-08-30 00:00:00,63.52
2011-08-31 00:00:00,63.38
2011-09-01 00:00:00,64.07
2011-09-02 00:00:00,63.61
2011-09-03 00:00:00,63.37
2011-09-04 00:00:00,64.36
2011-09-05 00:00:00,64.41
2011-09-06 00:00:00,63.39
2011-09-07 00:00:00,62.76
2011-09-08 00:00:00,64.2
2011-09-09 00:00:00,63.35
2011-09-10 00:00:00,64.09
2011-09-11 00:00:00,62.7
2011-09-12 00:00:00,64.13
2011-09-13 00:00:00,63.08
2011-09-14 00:00:00,64.05
2011-09-15 00:00:00,63.69
2011-09-16 00:00:00,63.21
2011-09-17 00:00:00,63.48
2011-09-18 00:00:00,64.02
2011-09-19 00:00:00,63.73
2011-09-20 00:00:00,63.97
2011-09-21 00:00:00,64.67
2011-09-22 00:00:00,62.89
2011-09-23 00:00:00,64.48
2011-09-24 00:00:00,63.73
2011-09-25 00:00:00,63.22
2011-09-26 00:00:00,63.01
2011-09-27 00:00:00,63.58
2011-09-28 00:00:00,64.13
2011-09-29 00:00:00,63.6
2011-09-30 00:00:00,64.42
2011-10-01 00:00:00,62.94
2011-10-02 00:00:00,63.66
2011-10-03 00:00:00,63.04
2011-10-04 00:00:00,63.84
2011-10-05 00:00:00,64.11
2011-10-06 00:00:00,63.45
2011-10-07 00:00:00,62.36
2011-10-08 00:00:00,63.76
2011-10-09 00:00:00,63.88
2011-10-10 00:00:00,63.86
2011-10-11 00:00:00,64.27
2011-10-12 00:00:00,63.12
2011-10-13 00:00:00,63.99
2011-10-14 00:00:00,64.25
2011-10-15 00:00:00,62.76
2011-10-16 00:00:00,63.81
2011-10-17 00:00:00,63.4
2011-10-18 00:00:00,63.61
2011-10-19 00:00:00,63.82
2011-10-20 00:00:00,63.4
2011-10-21 00:00:00,63.31
2011-10-22 00:00:00,63.66
2011-10-23 00:00:00,63.1
2011-10-24 00:00:00,63.1
2011-10-25 00:00:00,63.98
2011-10-26 00:00:00,63.06
2011-10-27 00:00:00,63.97
2011-10-28 00:00:00,63.87
2011-10-29 00:00:00,62.77
2011-10-30 00:00:00,63.29
2011-10-31 00:00:00,64.23
2011-11-01 00:00:00,63.14
2011-11-02 00:00:00,63.4
2011-11-03 00:00:00,63.86
2011-11-04 00:00:00,64.02
2011-11-05 00:00:00,63.5
2011-11-06 00:00:00,63.33
2011-11-07 00:00:00,64.33
2011-11-08 00:00:00,64.49
2011-11-09 00:00:00,64.11
2011-11-10 00:00:00,63.66
2011-11-11 00:00:00,63.21
2011-11-12 00:00:00,63.2
2011-11-13 00:00:00,63.88
2011-11-14 00:00:00,63.82
2011-11-15 00:00:00,64.32
2011-11-16 00:00:00,63.94
2011-11-17 00:00:00,62.86
2011-11-18 00:00:00,64.14
2011-11-19 00:00:00,63.11
2011-11-20 00:00:00,63.42
2011-11-21 00:00:00,63.73
2011-11-22 00:00:00,64.6
2011-11-23 00:00:00,65.16
2011-11-24 00:00:00,63.91
2011-11-25 00:00:00,63.51
2011-11-26 00:00:00,63.87
2011-11-27 00:00:00,64.04
2011-11-28 00:00:00,63.44
2011-11-29 00:00:00,64.5
2011-11-30 00:00:00,63.71
2011-12-01 00:00:00,63.84
2011-12-02 00:00:00,63.93
2011-12-03 00:00:00,63.8
2011-12-04 00:00:00,64.01
2011-12-05 00:00:00,63.28
2011-12-06 00:00:00,63.31
2011-12-07 00:00:00,63.04
2011-12-08 00:00:00,63.81
2011-12-09 00:00:00,63.98
2011-12-10 00:00:00,63.81
2011-12-11 00:00:00,64.42
2011-12-12 00:00:00,63.58
2011-12-13 00:00:00,63.92
2011-12-14 00:00:00,63.04
2011-12-15 00:00:00,63.39
2011-12-16 00:00:00,63.93
2011-12-17 00:00:00,64.0
2011-12-18 00:00:00,63.43
2011-12-19 00:00:00,63.54
2011-12-20 00:00:00,62.82
2011-12-21 00:00:00,63.39
2011-12-22 00:00:00,64.02
2011-12-23 00:00:00,63.86
2011-12-24 00:00:00,63.82
2011-12-25 00:00:00,63.59
2011-12-26 00:00:00,63.57
2011-12-27 00:00:00,63.24
2011-12-28 00:00:00,63.91
2011-12-29 00:00:00,63.77
2011-12-30 00:00:00,63.81
2011-12-31 00:00:00,63.3
2012-01-01 00:00:00,62.48
2012-01-02 00:00:00,64.11
2012-01-03 00:00:00,63.32
2012-01-04 00:00:00,63.13
2012-01-05 00:00:00,63.9
2012-01-06 00:00:00,63.36
2012-01-07 00:00:00,64.08
2012-01-08 00:00:00,63.86
2012-01-09 00:00:00,63.89
2012-01-10 00:00:00,62.87
2012-01-11 00:00:00,64.15
2012-01-12 00:00:00,63.68
2012-01-13 00:00:00,63.36
2012-01-14 00:00:00,63.62
2012-01-15 00:00:00,62.66
2012-01-16 00:00:00,63.75
2012-01-17 00:00:00,63.03
2012-01-18 00:00:00,62.86
2012-01-19 00:00:00,62.78
2012-01-20 00:00:00,64.09
2012-01-21 00:00:00,63.22
2012-01-22 00:00:00,64.3
2012-01-23 00:00:00,63.27
2012-01-24 00:00:00,62.68
2012-01-25 00:00:00,62.97
2012-01-26 00:00:00,64.15
2012-01-27 00:00:00,63.45
2012-01-28 00:00:00,63.26
2012-01-29 00:00:00,63.61
2012-01-30 00:00:00,63.78
2012-01-31 00:00:00,64.08
2012-02-01 00:00:00,64.25
2012-02-02 00:00:00,63.34
2012-02-03 00:00:00,62.86
2012-02-04 00:00:00,63.31
2012-02-05 00:00:00,63.65
2012-02-06 00:00:00,63.04
2012-02-07 00:00:00,63.04
2012-02-08 00:00:00,63.69
2012-02-09 00:00:00,63.49
2012-02-10 00:00:00,63.53
2012-02-11 00:00:00,63.13
2012-02-12 00:00:00,63.4
2012-02-13 00:00:00,63.05
2012-02-14 00:00:00,63.95
2012-02-15 00:00:00,64.03
2012-02-16 00:00:00,62.58
2012-02-17 00:00:00,63.04
2012-02-18 00:00:00,62.76
2012-02-19 00:00:00,63.18
2012-02-20 00:00:00,63.46
2012-02-21 00:00:00,62.78
2012-02-22 00:00:00,63.04
2012-02-23 00:00:00,63.0
2012-02-24 00:00:00,63.6
2012-02-25 00:00:00,63.53
2012-02-26 00:00:00,63.14
2012-02-27 00:00:00,63.58
2012-02-28 00:00:00,63.22
2012-02-29 00:00:00,63.36
2012-03-01 00:00:00,64.33
2012-03-02 00:00:00,64.16
2012-03-03 00:00:00,62.84
2012-03-04 00:00:00,63.9
2012-03-05 00:00:00,63.89
2012-03-06 00:00:00,62.91
2012-03-07 00:00:00,63.89
2012-03-08 00:00:00,64.25
2012-03-09 00:00:00,62.92
2012-03-10 00:00:00,63.02
2012-03-11 00:00:00,63.99
2012-03-12 00:00:00,63.61
2012-03-13 00:00:00,63.75
2012-03-14 00:00:00,63.65
2012-03-15 00:00:00,63.67
2012-03-16 00:00:00,62.81
2012-03-17 00:00:00,64.0
2012-03-18 00:00:00,64.06
2012-03-19 00:00:00,63.36
2012-03-20 00:00:00,63.45
2012-03-21 00:00:00,62.7
2012-03-22 00:00:00,63.72
2012-03-23 00:00:00,63.75
2012-03-24 00:00:00,63.43
2012-03-25 00:00:00,64.03
2012-03-26 00:00:00,63.3
2012-03-27 00:00:00,63.74
2012-03-28 00:00:00,62.95
2012-03-29 00:00:00,63.45
2012-03-30 00:00:00,63.37
2012-03-31 00:00:00,63.57
2012-04-01 00:00:00,63.27
2012-04-02 00:00:00,63.39
2012-04-03 00:00:00,63.87
2012-04-04 00:00:00,63.23
2012-04-05 00:00:00,62.65
2012-04-06 00:00:00,64.32
2012-04-07 00:00:00,64.14
2012-04-08 00:00:00,62.8
2012-04-09 00:00:00,63.79
2012-04-10 00:00:00,63.19
2012-04-11 00:00:00,63.58
2012-04-12 00:00:00,63.59
2012-04-13 00:00:00,63.32
2012-04-14 00:00:00,63.05
2012-04-15 00:00:00,63.09
2012-04-16 00:00:00,62.98
2012-04-17 00:00:00,63.02
2012-04-18 00:00:00,63.4
2012-04-19 00:00:00,63.08
2012-04-20 00:00:00,63.77
2012-04-21 00:00:00,64.18
2012-04-22 00:00:00,63.14
2012-04-23 00:00:00,63.55
2012-04-24 00:00:00,63.68
2012-04-25 00:00:00,63.66
2012-04-26 00:00:00,63.47
2012-04-27 00:00:00,63.8
2012-04-28 00:00:00,63.67
2012-04-29 00:00:00,62.8
2012-04-30 00:00:00,63.86
2012-05-01 00:00:00,63.86
2012-05-02 00:00:00,63.04
2012-05-03 00:00:00,63.44
2012-05-04 00:00:00,63.76
2012-05-05 00:00:00,63.31
2012-05-06 00:00:00,63.95
2012-05-07 00:00:00,64.6
2012-05-08 00:00:00,63.02
2012-05-09 00:00:00,62.72
2012-05-10 00:00:00,63.56
2012-05-11 00:00:00,63.77
2012-05-12 00:00:00,63.29
2012-05-13 00:00:00,64.13
2012-05-14 00:00:00,62.74
2012-05-15 00:00:00,63.75
2012-05-16 00:00:00,63.1
2012-05-17 00:00:00,64.26
2012-05-18 00:00:00,64.4
2012-05-19 00:00:00,63.02
2012-05-20 00:00:00,63.12
2012-05-21 00:00:00,63.83
2012-05-22 00:00:00,63.2
2012-05-23 00:00:00,63.37
2012-05-24 00:00:00,63.41
2012-05-25 00:00:00,62.43
2012-05-26 00:00:00,63.39
2012-05-27 00:00:00,63.05
2012-05-28 00:00:00,63.14
2012-05-29 00:00:00,64.11
2012-05-30 00:00:00,62.76
2012-05-31 00:00:00,63.79
2012-06-01 00:00:00,63.25
2012-06-02 00:00:00,63.24
2012-06-03 00:00:00,63.78
2012-06-04 00:00:00,63.55
2012-06-05 00:00:00,63.67
2012-06-06 00:00:00,63.86
2012-06-07 00:00:00,63.21
2012-06-08 00:00:00,63.07
2012-06-09 00:00:00,62.83
2012-06-10 00:00:00,62.96
2012-06-11 00:00:00,64.85
2012-06-12 00:00:00,64.0
2012-06-13 00:00:00,62.7
2012-06-14 00:00:00,62.71
2012-06-15 00:00:00,63.61
2012-06-16 00:00:00,63.64
2012-06-17 00:00:00,63.64
2012-06-18 00:00:00,63.24
2012-06-19 00:00:00,63.3
2012-06-20 00:00:00,63.53
2012-06-21 00:00:00,63.41
2012-06-22 00:00:00,62.25
2012-06-23 00:00:00,63.25
2012-06-24 00:00:00,62.93
2012-06-25 00:00:00,63.45
2012-06-26 00:00:00,64.85
2012-06-27 00:00:00,63.54
2012-06-28 00:00:00,63.2
2012-06-29 00:00:00,63.81
2012-06-30 00:00:00,63.59
2012-07-01 00:00:00,63.56
2012-07-02 00:00:00,63.65
2012-07-03 00:00:00,64.38
2012-07-04 00:00:00,62.78
2012-07-05 00:00:00,63.58
2012-07-06 00:00:00,62.88
2012-07-07 00:00:00,63.62
2012-07-08 00:00:00,62.88
2012-07-09 00:00:00,63.13
2012-07-10 00:00:00,63.19
2012-07-11 00:00:00,63.83
2012-07-12 00:00:00,63.8
2012-07-13 00:00:00,62.71
2012-07-14 00:00:00,63.36
2012-07-15 00:00:00,62.98
2012-07-16 00:00:00,62.7
2012-07-17 00:00:00,63.22
2012-07-18 00:00:00,63.18
2012-07-19 00:00:00,64.54
2012-07-20 00:00:00,63.55
2012-07-21 00:00:00,62.64
2012-07-22 00:00:00,63.04
2012-07-23 00:00:00,63.84
2012-07-24 00:00:00,64.37
2012-07-25 00:00:00,62.53
2012-07-26 00:00:00,62.38
2012-07-27 00:00:00,64.26
2012-07-28 00:00:00,63.51
2012-07-29 00:00:00,62.88
2012-07-30 00:00:00,63.59
2012-07-31 00:00:00,62.0
2012-08-01 00:00:00,63.32
2012-08-02 00:00:00,63.48
2012-08-03 00:00:00,63.78
2012-08-04 00:00:00,62.81
2012-08-05 00:00:00,63.35
2012-08-06 00:00:00,62.85
2012-08-07 00:00:00,63.44
2012-08-08 00:00:00,62.86
2012-08-09 00:00:00,63.1
2012-08-10 00:00:00,62.81
2012-08-11 00:00:00,63.63
2012-08-12 00:00:00,63.73
2012-08-13 00:00:00,63.18
2012-08-14 00:00:00,63.32
2012-08-15 00:00:00,62.58
2012-08-16 00:00:00,63.15
2012-08-17 00:00:00,63.27
2012-08-18 00:00:00,64.61
2012-08-19 00:00:00,62.74
2012-08-20 00:00:00,64.03
2012-08-21 00:00:00,63.79
2012-08-22 00:00:00,63.43
2012-08-23 00:00:00,64.17
2012-08-24 00:00:00,63.48
2012-08-25 00:00:00,63.48
2012-08-26 00:00:00,63.26
2012-08-27 00:00:00,63.9
2012-08-28 00:00:00,63.83
2012-08-29 00:00:00,62.97
2012-08-30 00:00:00,62.62
2012-08-31 00:00:00,63.18
2012-09-01 00:00:00,62.88
2012-09-02 00:00:00,63.25
2012-09-03 00:00:00,63.9
2012-09-04 00:00:00,63.05
2012-09-05 00:00:00,63.25
2012-09-06 00:00:00,63.3
2012-09-07 00:00:00,63.7
2012-09-08 00:00:00,62.15
2012-09-09 00:00:00,62.97
2012-09-10 00:00:00,63.38
2012-09-11 00:00:00,63.87
2012-09-12 00:00:00,63.02
2012-09-13 00:00:00,62.33
2012-09-14 00:00:00,63.57
2012-09-15 00:00:00,62.95
2012-09-16 00:00:00,62.67
2012-09-17 00:00:00,62.95
2012-09-18 00:00:00,63.17
2012-09-19 00:00:00,62.96
2012-09-20 00:00:00,62.16
2012-09-21 00:00:00,63.71
2012-09-22 00:00:00,63.89
2012-09-23 00:00:00,63.58
2012-09-24 00:00:00,62.68
2012-09-25 00:00:00,63.15
2012-09-26 00:00:00,63.25
2012-09-27 00:00:00,63.55
2012-09-28 00:00:00,63.58
2012-09-29 00:00:00,62.88
2012-09-30 00:00:00,63.29
2012-10-01 00:00:00,63.47
2012-10-02 00:00:00,63.97
2012-10-03 00:00:00,63.6
2012-10-04 00:00:00,63.64
2012-10-05 00:00:00,63.28
2012-10-06 00:00:00,63.94
2012-10-07 00:00:00,63.44
2012-10-08 00:00:00,62.81
2012-10-09 00:00:00,63.94
2012-10-10 00:00:00,63.58
2012-10-11 00:00:00,63.01
2012-10-12 00:00:00,62.99
2012-10-13 00:00:00,63.38
